Partie d'AI 40% contre l'AI 50%,Victoires,Défaites,,,,,,,,,,,,,,
P1(40),644,356,P2(50),,,,,,,,,,,,,
Partie d'AI 40% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(40),694,306,P2(65),,,,,,,,,,,,,
Partie d'AI 40% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(40),813,187,P2(80),,,,,,,,,,,,,
Partie d'AI 41% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(41),623,377,P2(50),,,,,,,,,,,,,
Partie d'AI 41% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(41),704,296,P2(65),,,,,,,,,,,,,
Partie d'AI 41% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(41),809,191,P2(80),,,,,,,,,,,,,
Partie d'AI 42% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(42),655,345,P2(50),,,,,,,,,,,,,
Partie d'AI 42% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(42),664,336,P2(65),,,,,,,,,,,,,
Partie d'AI 42% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(42),795,205,P2(80),,,,,,,,,,,,,
Partie d'AI 43% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(43),656,344,P2(50),,,,,,,,,,,,,
Partie d'AI 43% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(43),686,314,P2(65),,,,,,,,,,,,,
Partie d'AI 43% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(43),806,194,P2(80),,,,,,,,,,,,,
Partie d'AI 44% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(44),623,377,P2(50),,,,,,,,,,,,,
Partie d'AI 44% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(44),697,303,P2(65),,,,,,,,,,,,,
Partie d'AI 44% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(44),807,193,P2(80),,,,,,,,,,,,,
Partie d'AI 45% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(45),651,349,P2(50),,,,,,,,,,,,,
Partie d'AI 45% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(45),710,290,P2(65),,,,,,,,,,,,,
Partie d'AI 45% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(45),844,156,P2(80),,,,,,,,,,,,,
Partie d'AI 46% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(46),638,362,P2(50),,,,,,,,,,,,,
Partie d'AI 46% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(46),694,306,P2(65),,,,,,,,,,,,,
Partie d'AI 46% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(46),842,158,P2(80),,,,,,,,,,,,,
Partie d'AI 47% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(47),630,370,P2(50),,,,,,,,,,,,,
Partie d'AI 47% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(47),669,331,P2(65),,,,,,,,,,,,,
Partie d'AI 47% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(47),843,157,P2(80),,,,,,,,,,,,,
Partie d'AI 48% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(48),633,367,P2(50),,,,,,,,,,,,,
Partie d'AI 48% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(48),696,304,P2(65),,,,,,,,,,,,,
Partie d'AI 48% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(48),835,165,P2(80),,,,,,,,,,,,,
Partie d'AI 49% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(49),633,367,P2(50),,,,,,,,,,,,,
Partie d'AI 49% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(49),697,303,P2(65),,,,,,,,,,,,,
Partie d'AI 49% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(49),838,162,P2(80),,,,,,,,,,,,,
Partie d'AI 51% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(51),673,327,P2(50),,,,,,,,,,,,,
Partie d'AI 51% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(51),693,307,P2(65),,,,,,,,,,,,,
Partie d'AI 51% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(51),845,155,P2(80),,,,,,,,,,,,,
Partie d'AI 52% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(52),636,364,P2(50),,P1(40),644,356,,P1(40),694,306,,P1(40),813,187,P2(80)
Partie d'AI 52% contre l'AI 65%,,,,,P1(41),623,377,,P1(41),704,296,,P1(41),809,191,P2(80)
P1(52),685,315,P2(65),,P1(42),655,345,,P1(42),664,336,,P1(42),795,205,P2(80)
Partie d'AI 52% contre l'AI 80%,,,,,P1(43),656,344,,P1(43),686,314,,P1(43),806,194,P2(80)
P1(52),851,149,P2(80),,P1(44),623,377,,P1(44),697,303,,P1(44),807,193,P2(80)
Partie d'AI 53% contre l'AI 50%,,,,,P1(45),651,349,,P1(45),710,290,,P1(45),844,156,P2(80)
P1(53),637,363,P2(50),,P1(46),638,362,,P1(46),694,306,,P1(46),842,158,P2(80)
Partie d'AI 53% contre l'AI 65%,,,,,P1(47),630,370,,P1(47),669,331,,P1(47),843,157,P2(80)
P1(53),699,301,P2(65),,P1(48),633,367,,P1(48),696,304,,P1(48),835,165,P2(80)
Partie d'AI 53% contre l'AI 80%,,,,,P1(49),633,367,,P1(49),697,303,,P1(49),838,162,P2(80)
P1(53),874,126,P2(80),,P1(51),673,327,,P1(51),693,307,,P1(51),845,155,P2(80)
Partie d'AI 54% contre l'AI 50%,,,,,P1(52),636,364,,P1(52),685,315,,P1(52),851,149,P2(80)
P1(54),599,401,P2(50),,P1(53),637,363,,P1(53),699,301,,P1(53),874,126,P2(80)
Partie d'AI 54% contre l'AI 65%,,,,,P1(54),599,401,,P1(54),671,329,,P1(54),881,119,P2(80)
P1(54),671,329,P2(65),,P1(55),618,382,,P1(55),682,318,,P1(55),869,131,P2(80)
Partie d'AI 54% contre l'AI 80%,,,,,P1(56),626,374,,P1(56),697,303,,P1(56),875,125,P2(80)
P1(54),881,119,P2(80),,P1(57),638,362,,P1(57),692,308,,P1(57),862,138,P2(80)
Partie d'AI 55% contre l'AI 50%,,,,,P1(58),632,368,,P1(58),663,337,,P1(58),858,142,P2(80)
P1(55),618,382,P2(50),,P1(59),616,384,,P1(59),686,314,,P1(59),871,129,P2(80)
Partie d'AI 55% contre l'AI 65%,,,,,P1(60),580,420,,P1(60),641,359,,P1(60),874,126,P2(80)
P1(55),682,318,P2(65),,P1(61),622,378,,P1(61),624,376,,P1(61),871,129,P2(80)
Partie d'AI 55% contre l'AI 80%,,,,,P1(62),603,397,,P1(62),679,321,,P1(62),871,129,P2(80)
P1(55),869,131,P2(80),,P1(63),600,400,,P1(63),653,347,,P1(63),884,116,P2(80)
Partie d'AI 56% contre l'AI 50%,,,,,P1(64),592,408,,P1(64),652,348,,P1(64),879,121,P2(80)
P1(56),626,374,P2(50),,P1(66),592,408,,P1(66),660,340,,P1(66),883,117,P2(80)
Partie d'AI 56% contre l'AI 65%,,,,,P1(67),601,399,,P1(67),612,388,,P1(67),876,124,P2(80)
P1(56),697,303,P2(65),,P1(68),583,417,,P1(68),603,397,,P1(68),854,146,P2(80)
Partie d'AI 56% contre l'AI 80%,,,,,P1(69),596,404,,P1(69),624,376,,P1(69),866,134,P2(80)
P1(56),875,125,P2(80),,P1(70),591,409,,P1(70),618,382,,P1(70),868,132,P2(80)
Partie d'AI 57% contre l'AI 50%,,,,,P1(71),603,397,,P1(71),638,362,,P1(71),888,112,P2(80)
P1(57),638,362,P2(50),,P1(72),604,396,,P1(72),633,367,,P1(72),868,132,P2(80)
Partie d'AI 57% contre l'AI 65%,,,,,P1(73),584,416,,P1(73),629,371,,P1(73),883,117,P2(80)
P1(57),692,308,P2(65),,P1(74),598,402,,P1(74),646,354,,P1(74),852,148,P2(80)
Partie d'AI 57% contre l'AI 80%,,,,,P1(75),561,439,,P1(75),582,418,,P1(75),804,196,P2(80)
P1(57),862,138,P2(80),,P1(76),383,617,,P1(76),326,674,,P1(76),544,456,P2(80)
Partie d'AI 58% contre l'AI 50%,,,,,P1(77),147,853,,P1(77),28,972,,P1(77),445,555,P2(80)
P1(58),632,368,P2(50),,P1(78),141,859,,P1(78),33,967,,P1(78),429,571,P2(80)
Partie d'AI 58% contre l'AI 65%,,,,,P1(79),148,852,,P1(79),31,969,,P1(79),408,592,P2(80)
P1(58),663,337,P2(65),,,,,,,,,,,,,
Partie d'AI 58% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(58),858,142,P2(80),,,,,,,,,,,,,
Partie d'AI 59% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(59),616,384,P2(50),,,,,,,,,,,,,
Partie d'AI 59% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(59),686,314,P2(65),,,,,,,,,,,,,
Partie d'AI 59% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(59),871,129,P2(80),,,,,,,,,,,,,
Partie d'AI 60% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(60),580,420,P2(50),,,,,,,,,,,,,
Partie d'AI 60% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(60),641,359,P2(65),,,,,,,,,,,,,
Partie d'AI 60% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(60),874,126,P2(80),,,,,,,,,,,,,
Partie d'AI 61% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(61),622,378,P2(50),,,,,,,,,,,,,
Partie d'AI 61% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(61),624,376,P2(65),,,,,,,,,,,,,
Partie d'AI 61% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(61),871,129,P2(80),,,,,,,,,,,,,
Partie d'AI 62% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(62),603,397,P2(50),,,,,,,,,,,,,
Partie d'AI 62% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(62),679,321,P2(65),,,,,,,,,,,,,
Partie d'AI 62% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(62),871,129,P2(80),,,,,,,,,,,,,
Partie d'AI 63% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(63),600,400,P2(50),,,,,,,,,,,,,
Partie d'AI 63% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(63),653,347,P2(65),,,,,,,,,,,,,
Partie d'AI 63% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(63),884,116,P2(80),,,,,,,,,,,,,
Partie d'AI 64% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(64),592,408,P2(50),,,,,,,,,,,,,
Partie d'AI 64% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(64),652,348,P2(65),,,,,,,,,,,,,
Partie d'AI 64% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(64),879,121,P2(80),,,,,,,,,,,,,
Partie d'AI 66% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(66),592,408,P2(50),,,,,,,,,,,,,
Partie d'AI 66% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(66),660,340,P2(65),,,,,,,,,,,,,
Partie d'AI 66% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(66),883,117,P2(80),,,,,,,,,,,,,
Partie d'AI 67% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(67),601,399,P2(50),,,,,,,,,,,,,
Partie d'AI 67% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(67),612,388,P2(65),,,,,,,,,,,,,
Partie d'AI 67% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(67),876,124,P2(80),,,,,,,,,,,,,
Partie d'AI 68% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(68),583,417,P2(50),,,,,,,,,,,,,
Partie d'AI 68% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(68),603,397,P2(65),,,,,,,,,,,,,
Partie d'AI 68% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(68),854,146,P2(80),,,,,,,,,,,,,
Partie d'AI 69% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(69),596,404,P2(50),,,,,,,,,,,,,
Partie d'AI 69% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(69),624,376,P2(65),,,,,,,,,,,,,
Partie d'AI 69% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(69),866,134,P2(80),,,,,,,,,,,,,
Partie d'AI 70% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(70),591,409,P2(50),,,,,,,,,,,,,
Partie d'AI 70% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(70),618,382,P2(65),,,,,,,,,,,,,
Partie d'AI 70% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(70),868,132,P2(80),,,,,,,,,,,,,
Partie d'AI 71% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(71),603,397,P2(50),,,,,,,,,,,,,
Partie d'AI 71% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(71),638,362,P2(65),,,,,,,,,,,,,
Partie d'AI 71% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(71),888,112,P2(80),,,,,,,,,,,,,
Partie d'AI 72% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(72),604,396,P2(50),,,,,,,,,,,,,
Partie d'AI 72% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(72),633,367,P2(65),,,,,,,,,,,,,
Partie d'AI 72% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(72),868,132,P2(80),,,,,,,,,,,,,
Partie d'AI 73% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(73),584,416,P2(50),,,,,,,,,,,,,
Partie d'AI 73% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(73),629,371,P2(65),,,,,,,,,,,,,
Partie d'AI 73% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(73),883,117,P2(80),,,,,,,,,,,,,
Partie d'AI 74% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(74),598,402,P2(50),,,,,,,,,,,,,
Partie d'AI 74% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(74),646,354,P2(65),,,,,,,,,,,,,
Partie d'AI 74% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(74),852,148,P2(80),,,,,,,,,,,,,
Partie d'AI 75% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(75),561,439,P2(50),,,,,,,,,,,,,
Partie d'AI 75% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(75),582,418,P2(65),,,,,,,,,,,,,
Partie d'AI 75% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(75),804,196,P2(80),,,,,,,,,,,,,
Partie d'AI 76% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(76),383,617,P2(50),,,,,,,,,,,,,
Partie d'AI 76% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(76),326,674,P2(65),,,,,,,,,,,,,
Partie d'AI 76% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(76),544,456,P2(80),,,,,,,,,,,,,
Partie d'AI 77% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(77),147,853,P2(50),,,,,,,,,,,,,
Partie d'AI 77% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(77),28,972,P2(65),,,,,,,,,,,,,
Partie d'AI 77% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(77),445,555,P2(80),,,,,,,,,,,,,
Partie d'AI 78% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(78),141,859,P2(50),,,,,,,,,,,,,
Partie d'AI 78% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(78),33,967,P2(65),,,,,,,,,,,,,
Partie d'AI 78% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(78),429,571,P2(80),,,,,,,,,,,,,
Partie d'AI 79% contre l'AI 50%,,,,,,,,,,,,,,,,
P1(79),148,852,P2(50),,,,,,,,,,,,,
Partie d'AI 79% contre l'AI 65%,,,,,,,,,,,,,,,,
P1(79),31,969,P2(65),,,,,,,,,,,,,
Partie d'AI 79% contre l'AI 80%,,,,,,,,,,,,,,,,
P1(79),408,592,P2(80),,,,,,,,,,,,,
